Politikbereich,Zweck
Gesundheit,ausbildung /zur kiezübungsleiter*in bezirk pankow ot buch
Gesundheit,gesundheitlich versorgung geflüchtet mensch land berlin rahmen zuverdienst pankow
Jugend,verstetigung sofortmaßnahmen junge geflüchteter
Soziales,bucher bürgerhaus selbsthilfe un stadtteilzentrum i. v.m seniorentreff
Gesundheit,gesundheitlich versorgung geflüchtet mensch land berlin rahmen zuverdienst
Jugend,offen sportorientierte jugendarbeit junge geflüchteter umfeld unterkunft
Soziales,bucher bürgerhaus selbsthilfe stadtteilzentrum i.v. m. seniorentreff franzen schmidt straße berlin
Soziales,stadtteilzentrum turm busonistraße berlin
Stadtentwicklung,integratives nachbarschafts vernetzungsangebot buch
Gesundheit,laufend personal sachkosten kontakt beratungsstelle kbs bereich tageszentren sterkrader straße berlin waidmannsluster damm berlin
Gesundheit,laufend personal sachkosten textilwerkstatt zuverdienstgemeinschaft brunowstraße berlin
Gesundheit,stärkung psychistrischen versorgung geflüchtet mensch bereich kontakt beratungsstelle
Gesundheit,zuschuss trainingslager mensch psychisch beeinträchtigung
Gesundheit,zuschuss wanderreise mensch psychisch beeinträchtigung
Gesundheit,zuwendung integrativ sportfest mensch psychisch beeinträchtigung
Integration,ehap neu nachbarschaft teilprojekt nachbar reinickendorf west förderzeitraum
Jugend,externe koordinierungs fachstelle
Jugend,interkultureller mädchentreff
Jugend,jugendarbeit schule hermann schulz grundschule
Jugend,jugendforum jugendfonds
Jugend,jugendforum jugendfonds
Jugend,mehrgenerationenhaus ii
Jugend,sofortmaßnahme junge geflüchtete mensch interkulturell mädchentreff
Jugend,sozialpädagogisches lerntraining hausaufgabenhilfe interkulturell mädchentreff
Jugend,sozpäd gruppenarbeit interkulturelle mädchentreff
Integration,berratung familiennachzug geflüchtete i. r masterplan integration
Jugend,demokratie leben weltreise albatros
Jugend,demokratie leben fachtag indenität
Jugend,demokratie leben frauenreise
Jugend,flüchtlingsarbeit interkultureller mädchentreff
Jugend,jugendforum jugendfonds i
Jugend,jugendforum jugendfonds ii
Jugend,sozpädagpgische gruppenarbeit interkulturelle mädchentreff
Familie,kofi bundesprogramm mehrgenerationenhaus ii
Frauen,bundesprogramm demokratie begegnung austausch yoga
Gesundheit,bewegung gesundheit tegel süd
Gesundheit,stärkung psychistrischen versorgung geflüchtet mensch bereich zuverdienst
Jugend,bundesprogramm demokratie forum
Jugend,bundesprogramm demokratie forum
Jugend,bundesprogramm demokratie forum
Jugend,bundesprogramm demokratie interkulturelles fußballtraining
Jugend,bundesprogramm demokratie kind bvv reinickendorf
Jugend,bundesprogramm demokratie leben kuf
Jugend,kofi bundesprogramm demokratie forum
Jugend,kofi bundesprogramm demokratie forum
Jugend,kofi bundesprogramm demokratie forum
Jugend,kofi bundesprogramm demokratie interkulturelles fußballtraining
Jugend,kofi bundesprogramm demokratie kind bvv reinickendorf
Jugend,kofi bundesprogramm demokratie leben kuf
Jugend,theater&empowerment ws geflüchtete mädchen
Jugend,willkommen mädchentreff
Stadtentwicklung,elterntreff programm sozial stadt
